field0,field1,field2
|file:///home/lina/data/deltas/com.google.guava/guava/22.0-rc1-android_to_22.0.delta|,1,553
|file:///home/lina/data/deltas/com.google.guava/guava/12.0_to_13.0-rc1.delta|,1,628
|file:///home/lina/data/deltas/com.google.guava/guava/12.0.1_to_13.0-rc2.delta|,1,684
|file:///home/lina/data/deltas/com.google.guava/guava/23.1-jre_to_23.2-android.delta|,1,905
|file:///home/lina/data/deltas/com.google.guava/guava/18.0_to_19.0-rc1.delta|,1,1064
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.4.2_to_2.5.1.delta|,1,1448
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.12_to_3.0.1.delta|,1,1561
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.13_to_3.0.2.delta|,1,1564
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.15_to_3.0.4.delta|,1,1566
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.14_to_3.0.3.delta|,1,1586
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.16_to_3.0.5.delta|,1,1604
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.18_to_3.0.7.delta|,1,1608
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.17_to_3.0.6.delta|,1,1617
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.4_to_2.7.0.delta|,1,1675
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.6.17_to_3.0.15.delta|,1,1685
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.5_to_2.7.1.delta|,1,1969
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.10.4_to_5.5.1.delta|,1,2177
|file:///home/lina/data/deltas/org.apache.solr/solr-core/5.5.1_to_6.6.0.delta|,1,2618
|file:///home/lina/data/deltas/org.ops4j.pax.web/pax-web-jetty-bundle/0.8.1_to_3.1.2.delta|,1,3519
|file:///home/lina/data/deltas/org.apache.solr/solr-core/5.5.5_to_7.2.1.delta|,1,3721
|file:///home/lina/data/deltas/org.apache.hive/hive-exec/0.13.1_to_0.14.0.delta|,1,3900
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.4.2_to_2.5.1.delta|,1,7713
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m01_to_2.0-m02.delta|,2,143
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.3.19.RELEASE_to_5.1.0.RELEASE.delta|,2,194
|file:///home/lina/data/deltas/com.google.guava/guava/15.0_to_16.0-rc1.delta|,2,203
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.0.0.m3_to_3.0.0.m4.delta|,2,609
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.5.2_to_2.6.1-RC1.delta|,2,744
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.6_to_1.5.1.delta|,2,1161
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.8_to_1.5.6.delta|,2,1171
|file:///home/lina/data/deltas/us.fatehi/schemacrawler/14.16.04-java7_to_14.20.03.delta|,2,5170
|file:///home/lina/data/deltas/javax/javaee-web-api/6.0_to_7.0.delta|,2,5840
|file:///home/lina/data/deltas/com.google.guava/guava/24.0-android_to_24.0-jre.delta|,3,495
|file:///home/lina/data/deltas/com.google.guava/guava/25.0-android_to_25.0-jre.delta|,3,515
|file:///home/lina/data/deltas/com.google.guava/guava/24.1-android_to_24.1-jre.delta|,3,516
|file:///home/lina/data/deltas/com.google.guava/guava/25.1-android_to_25.1-jre.delta|,3,518
|file:///home/lina/data/deltas/com.google.guava/guava/26.0-android_to_26.0-jre.delta|,3,519
|file:///home/lina/data/deltas/com.google.guava/guava/23.6-android_to_23.6-jre.delta|,3,551
|file:///home/lina/data/deltas/org.apache.hive/hive-exec/0.11.0_to_0.12.0.delta|,3,3740
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/4.5.1.Final_to_5.0.1.Final.delta|,5,128
