field0,field1,field2
|file:///home/lina/data/deltas/co.cask.cdap/cdap-etl-core/4.2.0_to_4.3.0.delta|,1,216
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.5_to_2.10.3.delta|,1,228
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.7.5_to_3.1.0.delta|,1,238
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.7_to_2.10.5.delta|,1,241
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.12.0_to_0.13.0.delta|,1,244
|file:///home/lina/data/deltas/org.springframework/spring-core/5.0.9.RELEASE_to_5.1.0.RELEASE.delta|,1,313
|file:///home/lina/data/deltas/nz.ac.waikato.cms.weka/weka-dev/3.7.12_to_3.7.13.delta|,1,357
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.3.0_to_1.4.0.delta|,1,367
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.2.0.Final_to_6.4.0.Final.delta|,1,448
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.3.1_to_4.6.1.delta|,1,479
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.0.2_to_3.1.1.delta|,1,507
|file:///home/lina/data/deltas/nz.ac.waikato.cms.weka/weka-dev/3.7.10_to_3.7.11.delta|,1,513
|file:///home/lina/data/deltas/org.apache.ant/ant/1.8.4_to_1.9.0.delta|,1,531
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.19.RELEASE_to_5.1.0.RELEASE.delta|,1,566
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.14.2_to_2.15.0.delta|,1,593
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.5.2_to_2.19.delta|,1,596
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.14.3_to_2.15.3.delta|,1,652
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.3_to_2.16.0.delta|,1,685
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.4_to_2.16.1.delta|,1,686
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.5_to_2.16.2.delta|,1,695
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.6_to_2.16.3.delta|,1,709
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.1.4_to_2.2.0.delta|,1,850
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.1.6_to_2.2.3.delta|,1,850
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.1.5_to_2.2.1.delta|,1,853
|file:///home/lina/data/deltas/com.google.guava/guava/r09_to_10.0-rc1.delta|,1,860
|file:///home/lina/data/deltas/com.google.guava/guava/23.0_to_23.1-android.delta|,1,918
|file:///home/lina/data/deltas/nz.ac.waikato.cms.weka/weka-dev/3.7.13_to_3.9.0.delta|,1,999
|file:///home/lina/data/deltas/org.springframework/spring-core/3.2.18.RELEASE_to_4.3.6.RELEASE.delta|,1,1057
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.15_to_2.4.3.delta|,1,1060
|file:///home/lina/data/deltas/com.google.guava/guava/18.0_to_19.0-rc1.delta|,1,1064
|file:///home/lina/data/deltas/org.apache.solr/solr-core/1.3.0_to_1.4.0.delta|,1,1116
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.0-M1_to_2.0-M2.delta|,1,1128
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.12_to_2.4-M3.delta|,1,1190
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.14_to_2.4.0-RC3.delta|,1,1196
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.13_to_2.4.0-RC2.delta|,1,1196
|file:///home/lina/data/deltas/org.drools/drools-compiler/5.4.0.Final_to_5.5.0.Beta1.delta|,1,1237
|file:///home/lina/data/deltas/org.drools/drools-compiler/5.3.3.Final_to_5.5.0.Beta1.delta|,1,1521
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.16_to_2.4.13.delta|,1,1533
|file:///home/lina/data/deltas/org.apache.hive/hive-exec/0.8.0_to_0.10.0.delta|,1,1883
|file:///home/lina/data/deltas/org.drools/drools-compiler/5.0.1_to_5.1.0.delta|,1,2276
|file:///home/lina/data/deltas/com.typesafe.akka/akka-cluster_2.11/2.4.20_to_2.5.6.delta|,1,3762
|file:///home/lina/data/deltas/us.fatehi/schemacrawler/14.16.04-java7_to_14.20.03.delta|,1,5170
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.11_to_2.4-M1.delta|,1,5467
|file:///home/lina/data/deltas/javax/javaee-web-api/6.0_to_7.0.delta|,1,5840
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.1_to_2.9.0.RC1.delta|,1,12436
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.2.RC1_to_2.9.1.RC2.delta|,1,28311
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.2_to_2.10.0-M1.delta|,1,46587
|file:///home/lina/data/deltas/org.eclipse.jetty.alpn/alpn-api/1.1.0.v20141014_to_1.1.2.v20150522.delta|,2,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.2.5_to_2.2.6.delta|,2,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.6.2_to_2.6.3.delta|,2,6
