field0,field1,field2
|file:///home/lina/data/deltas/org.apache.camel/camel-mail/2.14.4_to_2.16.1.delta|,1,2
|file:///home/lina/data/deltas/io.fabric8/openshift-client/2.1.2_to_2.2.0.delta|,1,2
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.4.15_to_1.4.16.delta|,1,2
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.7_to_4.0.8.delta|,1,2
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/3.0.7_to_3.0.8.delta|,1,2
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.3.81_to_1.3.82.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-core/2.0.2_to_2.0.3.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-core/5.0.1.RELEASE_to_5.0.2.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-core/4.0.4.RELEASE_to_4.0.5.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-core/3.2.3.RELEASE_to_3.2.4.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/com.netflix.spectator/spectator-nflx-plugin/0.61.0_to_0.73.0.delta|,1,2
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/0.2.0.Beta4_to_0.3.0.CR1.delta|,1,2
|file:///home/lina/data/deltas/org.kie.workbench.services/kie-wb-common-datamodel-api/6.0.0.Beta5_to_6.0.0.CR1.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.2.0.RELEASE_to_4.2.1.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.18.1_to_2.18.2.delta|,1,2
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.2.0_to_22.2.1.delta|,1,2
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.4.13_to_1.4.14.delta|,1,2
|file:///home/lina/data/deltas/org.apache.camel/camel-flatpack/2.15.2_to_2.16.0.delta|,1,2
|file:///home/lina/data/deltas/com.android.tools/sdklib/24.1.3_to_24.2.2.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/2.2.3_to_2.3.1.delta|,1,3
|file:///home/lina/data/deltas/org.springframework/spring-context-support/4.1.8.RELEASE_to_4.2.2.RELEASE.delta|,1,3
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.0-m04_to_2.0-m05.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.10_to_2.6.7.delta|,1,3
|file:///home/lina/data/deltas/net.officefloor.core/officebuilding/1.0.1_to_1.1.0.delta|,1,3
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.6.v20180619_to_9.4.7.v20180619.delta|,1,3
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.0.2.RELEASE_to_3.0.3.RELEASE.delta|,1,3
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.24.0_to_0.25.0.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.8_to_2.6.5.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.5_to_2.6.2.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.9_to_2.6.6.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.6_to_2.6.3.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.3_to_2.6.0.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.7_to_2.6.4.delta|,1,3
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.3_to_2.2.4.delta|,1,3
|file:///home/lina/data/deltas/org.springframework/spring-context-support/4.1.9.RELEASE_to_4.2.4.RELEASE.delta|,1,3
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/4.0.1_to_4.0.2.delta|,1,3
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/0.1.4.Final_to_0.2.0.Beta4.delta|,1,3
