field0,field1,field2
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.6_to_2.0-m2.delta|,1,108
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.9.RELEASE_to_5.1.0.RELEASE.delta|,1,109
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.3.4_to_1.4.6.delta|,1,110
|file:///home/lina/data/deltas/com.google.guava/guava/23.0-android_to_23.1-android.delta|,1,113
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m04_to_2.0-m04-1.delta|,1,116
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.5.1_to_2.6.delta|,1,119
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.7_to_2.0-m5.delta|,1,128
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.11.0_to_0.12.0.delta|,1,135
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.2_to_2.3.delta|,1,141
|file:///home/lina/data/deltas/com.google.guava/guava/r07_to_r08.delta|,1,166
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.3.19.RELEASE_to_5.1.0.RELEASE.delta|,1,194
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.3_to_2.10.1.delta|,1,222
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.5_to_2.10.3.delta|,1,228
|file:///home/lina/data/deltas/com.google.guava/guava/r06_to_r07.delta|,1,232
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.7_to_2.10.5.delta|,1,241
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.12.0_to_0.13.0.delta|,1,244
|file:///home/lina/data/deltas/com.google.guava/guava/22.0-android_to_23.0-android.delta|,1,258
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.4.2_to_3.5.0.Beta1.delta|,1,266
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.5_to_2.11.1.delta|,1,283
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.4_to_2.11.0.delta|,1,285
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.2.0_to_1.3.0.delta|,1,287
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.5.0_to_3.5.1.delta|,1,290
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.7.1_to_2.7.3.delta|,1,396
|file:///home/lina/data/deltas/org.apache.hyracks/algebricks-core/0.2.17-incubating_to_0.3.0.delta|,1,474
|file:///home/lina/data/deltas/org.apache.ant/ant/1.8.4_to_1.9.0.delta|,1,531
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.0.0.Beta6_to_7.0.0.Beta7.delta|,1,533
|file:///home/lina/data/deltas/com.google.guava/guava/23.6-android_to_23.6-jre.delta|,1,551
|file:///home/lina/data/deltas/com.github.librepdf/openpdf/1.0.5_to_1.2.0.delta|,1,636
|file:///home/lina/data/deltas/org.pac4j/pac4j-oauth/1.9.6_to_2.0.0-RC2.delta|,1,645
|file:///home/lina/data/deltas/org.pac4j/pac4j-oauth/1.9.7_to_2.0.0.delta|,1,645
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.14.3_to_2.15.3.delta|,1,652
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.5.6_to_2.0.0.delta|,1,809
|file:///home/lina/data/deltas/com.google.guava/guava/r09_to_10.0-rc1.delta|,1,860
|file:///home/lina/data/deltas/com.google.guava/guava/23.3-jre_to_23.4-android.delta|,1,889
|file:///home/lina/data/deltas/com.google.guava/guava/23.0_to_23.1-android.delta|,1,918
|file:///home/lina/data/deltas/org.openrdf.sesame/sesame-model/2.8.11_to_4.1.2.delta|,1,995
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.14.4_to_2.16.1.delta|,1,1239
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/1.2.0_to_1.3.0.delta|,1,1494
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.6.0_to_2.0-M1.delta|,1,2083
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.10.4_to_5.5.1.delta|,1,2177
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.4.0_to_3.5.0.delta|,1,2428
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/1.7.0_to_2.0.0.delta|,1,2776
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.6.1_to_2.0-M2.delta|,1,2805
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.13.0-M4_to_2.13.0-M5.delta|,1,3296
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.11.0-M1_to_2.11.0-M3.delta|,1,3606
