field0,field1,field2
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.2.RC2_to_2.8.2.RC3.delta|,1,135
|file:///home/lina/data/deltas/io.vertx/vertx-core/2.1M2_to_2.1RC1.delta|,1,146
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.5.0_to_3.6.0.delta|,1,146
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.0.Beta1-RC5_to_2.8.0.Beta1.delta|,1,146
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.5.9_to_1.6.0.delta|,1,155
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.0_to_1.4.2.delta|,1,159
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0_to_3.1.0.delta|,1,162
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.4.0_to_3.5.0.delta|,1,163
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.16_to_2.5-M1.delta|,1,196
|file:///home/lina/data/deltas/com.google.guava/guava/15.0_to_16.0-rc1.delta|,1,203
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.6.1_to_4.7.2.delta|,1,211
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m07-1_to_2.0-m08.delta|,1,216
|file:///home/lina/data/deltas/org.apache.hive/hive-exec/0.14.0_to_1.0.0.delta|,1,225
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.13.2_to_2.14.0.delta|,1,227
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.13.3_to_2.14.1.delta|,1,227
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.11.3_to_0.12.0.delta|,1,240
|file:///home/lina/data/deltas/nz.ac.waikato.cms.weka/weka-dev/3.9.0_to_3.9.1.delta|,1,244
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.5.2_to_3.6.1.delta|,1,244
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.4_to_2.4.0.delta|,1,247
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.5_to_2.4.1.delta|,1,251
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.4.2_to_22.7.0.delta|,1,252
|file:///home/lina/data/deltas/com.google.guava/guava/22.0-android_to_23.0-android.delta|,1,258
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.12.4_to_2.14.0.delta|,1,259
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.18_to_2.5.1.delta|,1,264
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.10.0-M5_to_2.10.0-M6.delta|,1,268
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.8.Final_to_5.8.1.Final.delta|,1,275
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.5.0_to_3.5.1.delta|,1,290
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.19_to_2.5.3.delta|,1,313
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.0-M2_to_0.10.0-M3.delta|,1,355
|file:///home/lina/data/deltas/org.apache.camel/camel-core/1.3.0_to_1.4.0.delta|,1,367
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.5.0-rc.1_to_1.5.4-rc.1.delta|,1,368
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.6.0_to_2.7.0.delta|,1,383
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/1.0.0-M1_to_1.0.0-M2.delta|,1,404
|file:///home/lina/data/deltas/org.apache.derby/derby/10.5.3.0_1_to_10.6.1.0.delta|,1,406
|file:///home/lina/data/deltas/org.apache.derby/derby/10.4.2.0_to_10.5.3.0_1.delta|,1,430
|file:///home/lina/data/deltas/com.google.guava/guava/23.1-android_to_23.1-jre.delta|,1,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.2-android_to_23.2-jre.delta|,1,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.3-android_to_23.3-jre.delta|,1,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.4-android_to_23.4-jre.delta|,1,471
|file:///home/lina/data/deltas/com.google.guava/guava/23.5-android_to_23.5-jre.delta|,1,472
|file:///home/lina/data/deltas/org.apache.hyracks/algebricks-core/0.2.17-incubating_to_0.3.0.delta|,1,474
