field0,field1,field2
|file:///home/lina/data/deltas/org.kie.workbench.services/kie-wb-common-datamodel-api/6.0.0.Beta5_to_6.0.0.CR1.delta|,1,2
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/0.3.0.CR4_to_0.3.0.CR5.delta|,1,2
|file:///home/lina/data/deltas/org.apache.camel/camel-amqp/2.12.2_to_2.14.0.delta|,1,2
|file:///home/lina/data/deltas/io.fabric8/openshift-client/2.1.2_to_2.2.0.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/2.2.3_to_2.3.1.delta|,1,3
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.3_to_2.2.4.delta|,1,3
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.0_to_2.15.1.delta|,1,3
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.16.0_to_2.16.1.delta|,1,3
|file:///home/lina/data/deltas/net.officefloor.core/officebuilding/1.0.1_to_1.1.0.delta|,1,3
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.4.8_to_1.4.9.delta|,1,3
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/1.8.M04_to_1.8.M05.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.10_to_2.7.11.delta|,1,3
|file:///home/lina/data/deltas/io.fabric8/openshift-client/4.0.0_to_4.0.3.delta|,1,3
|file:///home/lina/data/deltas/org.pac4j/pac4j-oauth/1.9.2_to_1.9.4.delta|,1,3
|file:///home/lina/data/deltas/org.kie.server/kie-server-services-common/7.7.0.Final_to_7.8.0.Final.delta|,1,3
|file:///home/lina/data/deltas/net.officefloor.core/officebuilding/2.2.0_to_2.3.0.delta|,1,3
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.5.2_to_2.5.3.delta|,1,4
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.0.0.M1_to_9.0.0.M2.delta|,1,4
|file:///home/lina/data/deltas/org.springframework/spring-core/3.0.0.RELEASE_to_3.0.1.RELEASE.delta|,1,4
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/0.8.4_to_0.9.0.delta|,1,4
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/0.8.5_to_0.9.2.delta|,1,4
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.9-RC2_to_2.4.9.delta|,1,4
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.2-rc.10_to_1.2.2.delta|,1,4
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.10.3_to_2.10.4.delta|,1,4
|file:///home/lina/data/deltas/io.fabric8/openshift-client/2.4.1_to_2.5.1.delta|,1,4
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.11_to_2.12.delta|,1,4
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.4.RELEASE_to_5.0.5.RELEASE.delta|,1,4
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.3.9_to_2.4.6.delta|,1,4
|file:///home/lina/data/deltas/io.gravitee.gateway/gravitee-gateway-env/1.15.4_to_1.16.4.delta|,1,4
|file:///home/lina/data/deltas/io.gravitee.gateway/gravitee-gateway-env/1.15.6_to_1.16.5.delta|,1,4
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/7.2.0.v20101020_to_7.2.2.v20101205.delta|,1,4
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.3.11_to_2.4.8.delta|,1,4
|file:///home/lina/data/deltas/io.gravitee.gateway/gravitee-gateway-env/1.15.7_to_1.18.2.delta|,1,4
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.1.97_to_1.1.107.delta|,1,4
