field0,field1,field2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.1.9_to_2.2.6.delta|,1,133
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.1.10_to_2.2.9.delta|,1,140
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.16.v20170120_to_9.4.1.v20170120.delta|,1,141
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.17.v20170317_to_9.4.3.v20170317.delta|,1,142
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.5.13_to_2.5.14.delta|,1,144
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.18.v20170406_to_9.4.4.v20170414.delta|,1,151
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.20.v20170531_to_9.4.6.v20170531.delta|,1,151
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.21.RC0_to_9.4.7.RC0.delta|,1,151
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.0_to_1.4.2.delta|,1,159
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.4.0_to_3.5.0.delta|,1,163
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.22.v20171030_to_9.4.8.v20171121.delta|,1,166
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.24.v20180605_to_9.4.11.v20180605.delta|,1,167
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.23.v20180228_to_9.4.9.v20180320.delta|,1,167
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/2.0-m2_to_2.0-m5.delta|,1,187
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.0.12_to_2.2.3.delta|,1,189
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.3.18.RELEASE_to_5.0.8.RELEASE.delta|,1,203
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.3.17.RELEASE_to_5.0.6.RELEASE.delta|,1,203
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.3.14.RELEASE_to_5.0.3.RELEASE.delta|,1,203
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.12.0_to_2.12.1.delta|,1,205
|file:///home/lina/data/deltas/org.apache.solr/solr-core/7.1.0_to_7.2.1.delta|,1,210
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.6.1_to_4.7.2.delta|,1,211
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/1.6.0_to_2.0-M2.delta|,1,211
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.0.5-alpha_to_2.1.0-beta.delta|,1,231
|file:///home/lina/data/deltas/io.dropwizard.metrics/metrics-core/3.2.5_to_4.0.0-alpha5.delta|,1,241
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.26.v20180806_to_9.4.12.RC2.delta|,1,244
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.21.v20170120_to_9.4.2.v20170220.delta|,1,245
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.25.v20180606_to_9.4.0.v20180619.delta|,1,248
|file:///home/lina/data/deltas/org.activiti/activiti-engine/5.14_to_5.15.1.delta|,1,260
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.5_to_2.11.1.delta|,1,283
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.4_to_2.11.0.delta|,1,285
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.4.0_to_2.5.0.delta|,1,294
|file:///home/lina/data/deltas/org.springframework/spring-core/5.0.9.RELEASE_to_5.1.0.RELEASE.delta|,1,313
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.0.0_to_4.1.0.delta|,1,326
