field0,field1,field2
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.18.3_to_2.19.0.delta|,1,1181
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.18.4_to_2.19.1.delta|,1,1182
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.4_to_2.7.0.delta|,1,1675
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.5_to_2.7.1.delta|,1,1969
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.9.12_to_1.9.13.delta|,1,4290
|file:///home/lina/data/deltas/org.wso2.carbon.identity.framework/org.wso2.carbon.idp.mgt/5.11.109_to_5.11.251.delta|,2,2
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.8.1_to_1.8.6.delta|,2,3
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.4.8.v20171121_to_9.4.9.v20180320.delta|,2,13
|file:///home/lina/data/deltas/org.specs2/specs2-scalacheck_2.12/4.0.3_to_4.3.0.delta|,2,23
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.4.8.v20180619_to_9.4.12.RC0.delta|,2,35
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.7.2_to_1.9.2.delta|,2,39
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/1.0.0_to_1.0.1.delta|,2,44
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.21.2_to_2.22.1.delta|,2,66
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.21.1_to_2.22.0.delta|,2,66
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.1.0_to_3.2.0.delta|,2,92
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.4.1_to_3.4.2.delta|,2,102
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.2.0_to_3.2.1.delta|,2,139
|file:///home/lina/data/deltas/org.scalaz/scalaz-ioeffect_2.12/2.3.0_to_2.5.0.delta|,2,152
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.0-M10_to_0.10.0-M11.delta|,2,165
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.19.v20160908_to_9.3.12.v20160915.delta|,2,182
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.20.v20161216_to_9.3.15.v20161220.delta|,2,184
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.24.v20180105_to_9.3.23.v20180228.delta|,2,186
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.22.v20170606_to_9.3.21.M0.delta|,2,186
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.2.26.v20180806_to_9.4.12.RC2.delta|,2,223
|file:///home/lina/data/deltas/org.scalameta/semanticdb-scalac_2.12.3/2.0.1_to_2.1.2.delta|,2,234
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.26.v20180806_to_9.4.12.RC2.delta|,2,244
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.21.v20170120_to_9.4.2.v20170220.delta|,2,245
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.25.v20180606_to_9.4.0.v20180619.delta|,2,248
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.2_to_0.10.3.delta|,2,622
|file:///home/lina/data/deltas/org.openrdf.sesame/sesame-model/2.8.9_to_4.0.2.delta|,2,880
|file:///home/lina/data/deltas/org.openrdf.sesame/sesame-model/2.8.11_to_4.1.2.delta|,2,995
